id,time,action,app,SFC,n_VNFs,TTL,SFC_structure
11,64,create,SimpleApp,5,14,180,"{""vnf"": [{""id"": 0, ""SFC"": 5, ""RAM"": 1}, {""id"": 1, ""SFC"": 5, ""RAM"": 1}, {""id"": 2, ""SFC"": 5, ""RAM"": 1}, {""id"": 3, ""SFC"": 5, ""RAM"": 1}, {""id"": 4, ""SFC"": 5, ""RAM"": 1}, {""id"": 5, ""SFC"": 5, ""RAM"": 1}, {""id"": 6, ""SFC"": 5, ""RAM"": 1}, {""id"": 7, ""SFC"": 5, ""RAM"": 1}, {""id"": 8, ""SFC"": 5, ""RAM"": 1}, {""id"": 9, ""SFC"": 5, ""RAM"": 1}, {""id"": 10, ""SFC"": 5, ""RAM"": 1}, {""id"": 11, ""SFC"": 5, ""RAM"": 1}, {""id"": 12, ""SFC"": 5, ""RAM"": 1}, {""id"": 13, ""SFC"": 5, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 79}, {""s"": 1, ""d"": 2, ""bw"": 45}, {""s"": 2, ""d"": 3, ""bw"": 53}, {""s"": 3, ""d"": 4, ""bw"": 27}, {""s"": 4, ""d"": 5, ""bw"": 83}, {""s"": 5, ""d"": 6, ""bw"": 49}, {""s"": 6, ""d"": 7, ""bw"": 59}, {""s"": 7, ""d"": 8, ""bw"": 45}, {""s"": 8, ""d"": 9, ""bw"": 53}, {""s"": 9, ""d"": 10, ""bw"": 57}, {""s"": 10, ""d"": 11, ""bw"": 67}, {""s"": 11, ""d"": 12, ""bw"": 67}, {""s"": 12, ""d"": 13, ""bw"": 76}]}"
12,64,drop,-,5,-,-,-
13,66,create,SimpleApp,6,10,44,"{""vnf"": [{""id"": 0, ""SFC"": 6, ""RAM"": 1}, {""id"": 1, ""SFC"": 6, ""RAM"": 1}, {""id"": 2, ""SFC"": 6, ""RAM"": 1}, {""id"": 3, ""SFC"": 6, ""RAM"": 1}, {""id"": 4, ""SFC"": 6, ""RAM"": 1}, {""id"": 5, ""SFC"": 6, ""RAM"": 1}, {""id"": 6, ""SFC"": 6, ""RAM"": 1}, {""id"": 7, ""SFC"": 6, ""RAM"": 1}, {""id"": 8, ""SFC"": 6, ""RAM"": 1}, {""id"": 9, ""SFC"": 6, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 11}, {""s"": 1, ""d"": 2, ""bw"": 60}, {""s"": 2, ""d"": 3, ""bw"": 88}, {""s"": 3, ""d"": 4, ""bw"": 11}, {""s"": 4, ""d"": 5, ""bw"": 33}, {""s"": 5, ""d"": 6, ""bw"": 68}, {""s"": 6, ""d"": 7, ""bw"": 14}, {""s"": 7, ""d"": 8, ""bw"": 67}, {""s"": 8, ""d"": 9, ""bw"": 20}]}"
14,66,drop,-,6,-,-,-
15,75,create,SimpleApp,7,6,172,"{""vnf"": [{""id"": 0, ""SFC"": 7, ""RAM"": 1}, {""id"": 1, ""SFC"": 7, ""RAM"": 1}, {""id"": 2, ""SFC"": 7, ""RAM"": 1}, {""id"": 3, ""SFC"": 7, ""RAM"": 1}, {""id"": 4, ""SFC"": 7, ""RAM"": 1}, {""id"": 5, ""SFC"": 7, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 82}, {""s"": 1, ""d"": 2, ""bw"": 88}, {""s"": 2, ""d"": 3, ""bw"": 74}, {""s"": 3, ""d"": 4, ""bw"": 53}, {""s"": 4, ""d"": 5, ""bw"": 59}]}"
16,75,drop,-,7,-,-,-
17,80,create,SimpleApp,8,15,87,"{""vnf"": [{""id"": 0, ""SFC"": 8, ""RAM"": 1}, {""id"": 1, ""SFC"": 8, ""RAM"": 1}, {""id"": 2, ""SFC"": 8, ""RAM"": 1}, {""id"": 3, ""SFC"": 8, ""RAM"": 1}, {""id"": 4, ""SFC"": 8, ""RAM"": 1}, {""id"": 5, ""SFC"": 8, ""RAM"": 1}, {""id"": 6, ""SFC"": 8, ""RAM"": 1}, {""id"": 7, ""SFC"": 8, ""RAM"": 1}, {""id"": 8, ""SFC"": 8, ""RAM"": 1}, {""id"": 9, ""SFC"": 8, ""RAM"": 1}, {""id"": 10, ""SFC"": 8, ""RAM"": 1}, {""id"": 11, ""SFC"": 8, ""RAM"": 1}, {""id"": 12, ""SFC"": 8, ""RAM"": 1}, {""id"": 13, ""SFC"": 8, ""RAM"": 1}, {""id"": 14, ""SFC"": 8, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 27}, {""s"": 1, ""d"": 2, ""bw"": 56}, {""s"": 2, ""d"": 3, ""bw"": 21}, {""s"": 3, ""d"": 4, ""bw"": 32}, {""s"": 4, ""d"": 5, ""bw"": 37}, {""s"": 5, ""d"": 6, ""bw"": 66}, {""s"": 6, ""d"": 7, ""bw"": 84}, {""s"": 7, ""d"": 8, ""bw"": 27}, {""s"": 8, ""d"": 9, ""bw"": 19}, {""s"": 9, ""d"": 10, ""bw"": 10}, {""s"": 10, ""d"": 11, ""bw"": 41}, {""s"": 11, ""d"": 12, ""bw"": 44}, {""s"": 12, ""d"": 13, ""bw"": 28}, {""s"": 13, ""d"": 14, ""bw"": 15}]}"
18,80,drop,-,8,-,-,-
19,89,create,SimpleApp,9,13,296,"{""vnf"": [{""id"": 0, ""SFC"": 9, ""RAM"": 1}, {""id"": 1, ""SFC"": 9, ""RAM"": 1}, {""id"": 2, ""SFC"": 9, ""RAM"": 1}, {""id"": 3, ""SFC"": 9, ""RAM"": 1}, {""id"": 4, ""SFC"": 9, ""RAM"": 1}, {""id"": 5, ""SFC"": 9, ""RAM"": 1}, {""id"": 6, ""SFC"": 9, ""RAM"": 1}, {""id"": 7, ""SFC"": 9, ""RAM"": 1}, {""id"": 8, ""SFC"": 9, ""RAM"": 1}, {""id"": 9, ""SFC"": 9, ""RAM"": 1}, {""id"": 10, ""SFC"": 9, ""RAM"": 1}, {""id"": 11, ""SFC"": 9, ""RAM"": 1}, {""id"": 12, ""SFC"": 9, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 26}, {""s"": 1, ""d"": 2, ""bw"": 84}, {""s"": 2, ""d"": 3, ""bw"": 16}, {""s"": 3, ""d"": 4, ""bw"": 45}, {""s"": 4, ""d"": 5, ""bw"": 86}, {""s"": 5, ""d"": 6, ""bw"": 48}, {""s"": 6, ""d"": 7, ""bw"": 61}, {""s"": 7, ""d"": 8, ""bw"": 88}, {""s"": 8, ""d"": 9, ""bw"": 35}, {""s"": 9, ""d"": 10, ""bw"": 41}, {""s"": 10, ""d"": 11, ""bw"": 57}, {""s"": 11, ""d"": 12, ""bw"": 90}]}"
20,89,drop,-,9,-,-,-
21,93,create,SimpleApp,10,6,158,"{""vnf"": [{""id"": 0, ""SFC"": 10, ""RAM"": 1}, {""id"": 1, ""SFC"": 10, ""RAM"": 1}, {""id"": 2, ""SFC"": 10, ""RAM"": 1}, {""id"": 3, ""SFC"": 10, ""RAM"": 1}, {""id"": 4, ""SFC"": 10, ""RAM"": 1}, {""id"": 5, ""SFC"": 10, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 75}, {""s"": 1, ""d"": 2, ""bw"": 83}, {""s"": 2, ""d"": 3, ""bw"": 14}, {""s"": 3, ""d"": 4, ""bw"": 50}, {""s"": 4, ""d"": 5, ""bw"": 79}]}"
22,93,drop,-,10,-,-,-
23,102,create,SimpleApp,11,14,81,"{""vnf"": [{""id"": 0, ""SFC"": 11, ""RAM"": 1}, {""id"": 1, ""SFC"": 11, ""RAM"": 1}, {""id"": 2, ""SFC"": 11, ""RAM"": 1}, {""id"": 3, ""SFC"": 11, ""RAM"": 1}, {""id"": 4, ""SFC"": 11, ""RAM"": 1}, {""id"": 5, ""SFC"": 11, ""RAM"": 1}, {""id"": 6, ""SFC"": 11, ""RAM"": 1}, {""id"": 7, ""SFC"": 11, ""RAM"": 1}, {""id"": 8, ""SFC"": 11, ""RAM"": 1}, {""id"": 9, ""SFC"": 11, ""RAM"": 1}, {""id"": 10, ""SFC"": 11, ""RAM"": 1}, {""id"": 11, ""SFC"": 11, ""RAM"": 1}, {""id"": 12, ""SFC"": 11, ""RAM"": 1}, {""id"": 13, ""SFC"": 11, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 80}, {""s"": 1, ""d"": 2, ""bw"": 13}, {""s"": 2, ""d"": 3, ""bw"": 31}, {""s"": 3, ""d"": 4, ""bw"": 25}, {""s"": 4, ""d"": 5, ""bw"": 14}, {""s"": 5, ""d"": 6, ""bw"": 66}, {""s"": 6, ""d"": 7, ""bw"": 54}, {""s"": 7, ""d"": 8, ""bw"": 72}, {""s"": 8, ""d"": 9, ""bw"": 46}, {""s"": 9, ""d"": 10, ""bw"": 49}, {""s"": 10, ""d"": 11, ""bw"": 14}, {""s"": 11, ""d"": 12, ""bw"": 37}, {""s"": 12, ""d"": 13, ""bw"": 16}]}"
24,102,drop,-,11,-,-,-
25,108,create,SimpleApp,12,7,8,"{""vnf"": [{""id"": 0, ""SFC"": 12, ""RAM"": 1}, {""id"": 1, ""SFC"": 12, ""RAM"": 1}, {""id"": 2, ""SFC"": 12, ""RAM"": 1}, {""id"": 3, ""SFC"": 12, ""RAM"": 1}, {""id"": 4, ""SFC"": 12, ""RAM"": 1}, {""id"": 5, ""SFC"": 12, ""RAM"": 1}, {""id"": 6, ""SFC"": 12, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 72}, {""s"": 1, ""d"": 2, ""bw"": 17}, {""s"": 2, ""d"": 3, ""bw"": 17}, {""s"": 3, ""d"": 4, ""bw"": 65}, {""s"": 4, ""d"": 5, ""bw"": 41}, {""s"": 5, ""d"": 6, ""bw"": 51}]}"
26,108,drop,-,12,-,-,-
27,109,create,SimpleApp,13,10,34,"{""vnf"": [{""id"": 0, ""SFC"": 13, ""RAM"": 1}, {""id"": 1, ""SFC"": 13, ""RAM"": 1}, {""id"": 2, ""SFC"": 13, ""RAM"": 1}, {""id"": 3, ""SFC"": 13, ""RAM"": 1}, {""id"": 4, ""SFC"": 13, ""RAM"": 1}, {""id"": 5, ""SFC"": 13, ""RAM"": 1}, {""id"": 6, ""SFC"": 13, ""RAM"": 1}, {""id"": 7, ""SFC"": 13, ""RAM"": 1}, {""id"": 8, ""SFC"": 13, ""RAM"": 1}, {""id"": 9, ""SFC"": 13, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 79}, {""s"": 1, ""d"": 2, ""bw"": 71}, {""s"": 2, ""d"": 3, ""bw"": 46}, {""s"": 3, ""d"": 4, ""bw"": 77}, {""s"": 4, ""d"": 5, ""bw"": 80}, {""s"": 5, ""d"": 6, ""bw"": 29}, {""s"": 6, ""d"": 7, ""bw"": 24}, {""s"": 7, ""d"": 8, ""bw"": 68}, {""s"": 8, ""d"": 9, ""bw"": 82}]}"
28,109,drop,-,13,-,-,-
29,112,remove,-,2,-,-,"{""node"": [{""id"": 1, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 2, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 3, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 4, ""model"": ""switch"", ""tag"": ""core"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 5, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 6, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 7, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 8, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 9, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 10, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 11, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 12, ""model"": ""switch"", ""tag"": ""aggregation"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 13, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 14, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 15, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 16, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 17, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 18, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 19, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""off"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 20, ""model"": ""switch"", ""tag"": ""edge"", ""status"": ""on"", ""basePower"": 39, ""portPower"": [0.42, 0.48, 0.9]}, {""id"": 21, ""model"": ""server"", ""deployed"": [[1, 7]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 22, ""model"": ""server"", ""deployed"": [[1, 11]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 23, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 24, ""model"": ""server"", ""deployed"": [[1, 5]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 25, ""model"": ""server"", ""deployed"": [[1, 6], [1, 12]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 26, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 27, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 28, ""model"": ""server"", ""deployed"": [[1, 1], [1, 3]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 29, ""model"": ""server"", ""deployed"": [[1, 0]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 30, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 31, ""model"": ""server"", ""deployed"": [[1, 4]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 32, ""model"": ""server"", ""deployed"": [[1, 8]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 33, ""model"": ""server"", ""deployed"": [[1, 9]], ""RAM"": 3, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 34, ""model"": ""server"", ""deployed"": [], ""RAM"": 4, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 35, ""model"": ""server"", ""deployed"": [[1, 10], [1, 14]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}, {""id"": 36, ""model"": ""server"", ""deployed"": [[1, 2], [1, 13]], ""RAM"": 2, ""power"": [205.1, 232.9, 260.7, 288.6, 316.4]}], ""link"": [{""s"": 1, ""d"": 5, ""bw"": 1000, ""usage"": 245}, {""s"": 1, ""d"": 7, ""bw"": 1000, ""usage"": 372}, {""s"": 1, ""d"": 9, ""bw"": 1000, ""usage"": 252}, {""s"": 1, ""d"": 11, ""bw"": 1000, ""usage"": 309}, {""s"": 2, ""d"": 5, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 7, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 9, ""bw"": 1000, ""usage"": 0}, {""s"": 2, ""d"": 11, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 3, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 6, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 8, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 10, ""bw"": 1000, ""usage"": 0}, {""s"": 4, ""d"": 12, ""bw"": 1000, ""usage"": 0}, {""s"": 5, ""d"": 13, ""bw"": 1000, ""usage"": 188}, {""s"": 5, ""d"": 14, ""bw"": 1000, ""usage"": 57}, {""s"": 6, ""d"": 13, ""bw"": 1000, ""usage"": 0}, {""s"": 6, ""d"": 14, ""bw"": 1000, ""usage"": 0}, {""s"": 7, ""d"": 15, ""bw"": 1000, ""usage"": 158}, {""s"": 7, ""d"": 16, ""bw"": 1000, ""usage"": 214}, {""s"": 8, ""d"": 15, ""bw"": 1000, ""usage"": 0}, {""s"": 8, ""d"": 16, ""bw"": 1000, ""usage"": 0}, {""s"": 9, ""d"": 17, ""bw"": 1000, ""usage"": 46}, {""s"": 9, ""d"": 18, ""bw"": 1000, ""usage"": 206}, {""s"": 10, ""d"": 17, ""bw"": 1000, ""usage"": 0}, {""s"": 10, ""d"": 18, ""bw"": 1000, ""usage"": 0}, {""s"": 11, ""d"": 19, ""bw"": 1000, ""usage"": 108}, {""s"": 11, ""d"": 20, ""bw"": 1000, ""usage"": 305}, {""s"": 12, ""d"": 19, ""bw"": 1000, ""usage"": 0}, {""s"": 12, ""d"": 20, ""bw"": 1000, ""usage"": 0}, {""s"": 13, ""d"": 21, ""bw"": 1000, ""usage"": 90}, {""s"": 13, ""d"": 22, ""bw"": 1000, ""usage"": 98}, {""s"": 14, ""d"": 23, ""bw"": 1000, ""usage"": 0}, {""s"": 14, ""d"": 24, ""bw"": 1000, ""usage"": 57}, {""s"": 15, ""d"": 25, ""bw"": 1000, ""usage"": 158}, {""s"": 15, ""d"": 26, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 27, ""bw"": 1000, ""usage"": 0}, {""s"": 16, ""d"": 28, ""bw"": 1000, ""usage"": 214}, {""s"": 17, ""d"": 29, ""bw"": 1000, ""usage"": 46}, {""s"": 17, ""d"": 30, ""bw"": 1000, ""usage"": 0}, {""s"": 18, ""d"": 31, ""bw"": 1000, ""usage"": 95}, {""s"": 18, ""d"": 32, ""bw"": 1000, ""usage"": 111}, {""s"": 19, ""d"": 33, ""bw"": 1000, ""usage"": 108}, {""s"": 19, ""d"": 34, ""bw"": 1000, ""usage"": 0}, {""s"": 20, ""d"": 35, ""bw"": 1000, ""usage"": 167}, {""s"": 20, ""d"": 36, ""bw"": 1000, ""usage"": 232}]}"
30,118,create,SimpleApp,14,8,145,"{""vnf"": [{""id"": 0, ""SFC"": 14, ""RAM"": 1}, {""id"": 1, ""SFC"": 14, ""RAM"": 1}, {""id"": 2, ""SFC"": 14, ""RAM"": 1}, {""id"": 3, ""SFC"": 14, ""RAM"": 1}, {""id"": 4, ""SFC"": 14, ""RAM"": 1}, {""id"": 5, ""SFC"": 14, ""RAM"": 1}, {""id"": 6, ""SFC"": 14, ""RAM"": 1}, {""id"": 7, ""SFC"": 14, ""RAM"": 1}], ""vlink"": [{""s"": 0, ""d"": 1, ""bw"": 50}, {""s"": 1, ""d"": 2, ""bw"": 51}, {""s"": 2, ""d"": 3, ""bw"": 65}, {""s"": 3, ""d"": 4, ""bw"": 39}, {""s"": 4, ""d"": 5, ""bw"": 37}, {""s"": 5, ""d"": 6, ""bw"": 58}, {""s"": 6, ""d"": 7, ""bw"": 67}]}"
31,118,drop,-,14,-,-,-
